X,actlevel,WEEK
2008-091,1.1764705882352942,1.0
2013-141,6.0754716981132075,1.0
2016-171,3.830188679245283,1.0
2015-161,1.7169811320754718,1.0
2011-121,1.3269230769230769,1.0
2014-151,6.509433962264151,1.0
2010-111,2.269230769230769,1.0
2012-131,7.4423076923076925,1.0
2017-181,7.226415094339623,1.0
2009-101,1.6153846153846154,1.0
2018-191,5.490566037735849,1.0
2014-152,6.660377358490566,2.0
2010-112,3.0576923076923075,2.0
2017-182,7.773584905660377,2.0
2013-142,5.433962264150943,2.0
2015-162,1.7358490566037736,2.0
2018-192,5.056603773584905,2.0
2009-102,1.5384615384615385,2.0
2011-122,1.25,2.0
2016-172,3.849056603773585,2.0
2008-092,1.2549019607843137,2.0
2012-132,7.5576923076923075,2.0
2008-093,1.4901960784313726,3.0
2013-143,5.188679245283019,3.0
2010-113,3.9615384615384617,3.0
2016-173,5.037735849056604,3.0
2009-103,1.6538461538461537,3.0
2014-153,7.226415094339623,3.0
2012-133,7.769230769230769,3.0
2018-193,5.943396226415095,3.0
2015-163,1.9811320754716981,3.0
2017-183,8.415094339622641,3.0
2011-123,1.3653846153846154,3.0
2011-124,1.4423076923076923,4.0
2016-174,5.60377358490566,4.0
2017-184,8.81132075471698,4.0
2014-154,6.754716981132075,4.0
2009-104,1.7115384615384615,4.0
2018-194,6.867924528301887,4.0
2010-114,4.980769230769231,4.0
2015-164,2.2830188679245285,4.0
2008-094,1.9215686274509804,4.0
2012-134,7.096153846153846,4.0
2013-144,5.30188679245283,4.0
2009-105,2.0576923076923075,5.0
2011-125,1.8076923076923077,5.0
2013-145,4.735849056603773,5.0
2016-175,6.528301886792453,5.0
2014-155,5.886792452830188,5.0
2012-135,6.1923076923076925,5.0
2010-115,5.788461538461538,5.0
2017-185,9.056603773584905,5.0
2008-095,2.8627450980392157,5.0
2018-195,7.452830188679245,5.0
2015-165,2.490566037735849,5.0
2008-096,3.843137254901961,6.0
2018-196,7.660377358490566,6.0
2017-186,9.09433962264151,6.0
2014-156,5.056603773584905,6.0
2009-106,1.8461538461538463,6.0
2016-176,7.113207547169812,6.0
2015-166,3.30188679245283,6.0
2010-116,5.8076923076923075,6.0
2012-136,5.0,6.0
2011-126,1.8269230769230769,6.0
2013-146,4.0754716981132075,6.0
2018-197,8.056603773584905,7.0
2009-107,1.8846153846153846,7.0
2010-117,6.384615384615385,7.0
2012-137,4.1923076923076925,7.0
2011-127,2.173076923076923,7.0
2017-187,8.679245283018869,7.0
2015-167,4.037735849056604,7.0
2013-147,3.188679245283019,7.0
2008-097,3.803921568627451,7.0
2014-157,4.433962264150943,7.0
2016-177,6.773584905660377,7.0
2013-148,2.641509433962264,8.0
2017-188,7.981132075471698,8.0
2015-168,4.471698113207547,8.0
2018-198,8.056603773584905,8.0
2011-128,2.3846153846153846,8.0
2016-178,6.509433962264151,8.0
2008-098,3.980392156862745,8.0
2012-138,3.576923076923077,8.0
2014-158,3.69811320754717,8.0
2010-118,5.788461538461538,8.0
2009-108,1.75,8.0
2016-179,5.113207547169812,9.0
2014-159,3.4716981132075473,9.0
2015-169,4.9245283018867925,9.0
2018-199,7.679245283018868,9.0
2009-109,1.8461538461538463,9.0
2012-139,2.826923076923077,9.0
2008-099,3.6862745098039214,9.0
2017-189,6.490566037735849,9.0
2010-119,4.8076923076923075,9.0
2011-129,2.4615384615384617,9.0
2013-149,2.0943396226415096,9.0
2012-1310,2.8653846153846154,10.0
2017-1810,5.2075471698113205,10.0
2008-0910,2.784313725490196,10.0
2009-1010,1.75,10.0
2016-1710,5.056603773584905,10.0
2013-1410,2.018867924528302,10.0
2015-1610,5.773584905660377,10.0
2018-1910,7.6415094339622645,10.0
2010-1110,3.576923076923077,10.0
2011-1210,2.5961538461538463,10.0
2014-1510,3.1320754716981134,10.0
2016-1711,4.433962264150943,11.0
2018-1911,7.264150943396227,11.0
2011-1211,3.1346153846153846,11.0
2008-0911,2.2941176470588234,11.0
2009-1011,1.6153846153846154,11.0
2012-1311,2.5576923076923075,11.0
2015-1611,4.716981132075472,11.0
2013-1411,1.679245283018868,11.0
2014-1511,2.7169811320754715,11.0
2010-1111,2.4038461538461537,11.0
2017-1811,4.30188679245283,11.0
2013-1412,1.7169811320754718,12.0
2014-1512,2.339622641509434,12.0
2012-1312,1.8653846153846154,12.0
2011-1212,2.076923076923077,12.0
2015-1612,3.7358490566037736,12.0
2017-1812,3.7547169811320753,12.0
2008-0912,1.6862745098039216,12.0
2009-1012,1.3269230769230769,12.0
2018-1912,6.30188679245283,12.0
2010-1112,1.5961538461538463,12.0
2016-1712,4.169811320754717,12.0
2016-1713,3.7358490566037736,13.0
2014-1513,2.1320754716981134,13.0
2010-1113,1.4038461538461537,13.0
2018-1913,5.056603773584905,13.0
2009-1013,1.25,13.0
2013-1413,1.679245283018868,13.0
2012-1313,1.7884615384615385,13.0
2008-0913,1.411764705882353,13.0
2017-1813,3.150943396226415,13.0
2011-1213,1.5961538461538463,13.0
2015-1613,3.2830188679245285,13.0
2011-1214,1.5769230769230769,14.0
2016-1714,3.0,14.0
2012-1314,1.4807692307692308,14.0
2008-0914,1.2549019607843137,14.0
2015-1614,2.490566037735849,14.0
2009-1014,1.1346153846153846,14.0
2014-1514,1.7735849056603774,14.0
2018-1914,3.943396226415094,14.0
2013-1414,1.7924528301886793,14.0
2017-1814,2.547169811320755,14.0
2010-1114,1.1923076923076923,14.0
2013-1415,1.679245283018868,15.0
2008-0915,1.2156862745098038,15.0
2016-1715,2.0754716981132075,15.0
2014-1515,1.4339622641509433,15.0
2012-1315,1.3076923076923077,15.0
2018-1915,2.849056603773585,15.0
2009-1015,1.0384615384615385,15.0
2010-1115,1.0769230769230769,15.0
2015-1615,2.2264150943396226,15.0
2017-1815,2.018867924528302,15.0
2011-1215,1.3846153846153846,15.0
2014-1516,1.2830188679245282,16.0
2013-1416,1.528301886792453,16.0
2015-1616,2.0943396226415096,16.0
2009-1016,1.0961538461538463,16.0
2012-1316,1.1538461538461537,16.0
2008-0916,1.0980392156862746,16.0
2018-1916,2.188679245283019,16.0
2016-1716,1.509433962264151,16.0
2017-1816,1.6226415094339623,16.0
2010-1116,1.0576923076923077,16.0
2011-1216,1.3846153846153846,16.0
2018-1917,1.7924528301886793,17.0
2015-1617,1.6037735849056605,17.0
2012-1317,1.0576923076923077,17.0
2017-1817,1.4528301886792452,17.0
2013-1417,1.3773584905660377,17.0
2011-1217,1.2692307692307692,17.0
2010-1117,0.9807692307692307,17.0
2009-1017,1.1346153846153846,17.0
2016-1717,1.3396226415094339,17.0
2008-0917,2.6470588235294117,17.0
2014-1517,1.3584905660377358,17.0
2013-1418,1.2264150943396226,18.0
2015-1618,1.4528301886792452,18.0
2016-1718,1.2075471698113207,18.0
2017-1818,1.3584905660377358,18.0
2014-1518,1.2264150943396226,18.0
2012-1318,1.0769230769230769,18.0
2009-1018,1.0384615384615385,18.0
2018-1918,1.509433962264151,18.0
2008-0918,2.1176470588235294,18.0
2010-1118,0.9807692307692307,18.0
2011-1218,1.2884615384615385,18.0
2018-1919,1.320754716981132,19.0
2010-1119,0.9807692307692307,19.0
2015-1619,1.2075471698113207,19.0
2013-1419,1.2452830188679245,19.0
2012-1319,1.0384615384615385,19.0
2011-1219,1.2692307692307692,19.0
2009-1019,1.1153846153846154,19.0
2008-0919,1.7058823529411764,19.0
2016-1719,1.0943396226415094,19.0
2017-1819,1.1886792452830188,19.0
2014-1519,1.2264150943396226,19.0
2012-1320,1.0384615384615385,20.0
2014-1520,1.169811320754717,20.0
2009-1020,1.0769230769230769,20.0
2011-1220,1.1923076923076923,20.0
2015-1620,1.169811320754717,20.0
2010-1120,0.9807692307692307,20.0
2017-1820,1.1320754716981132,20.0
2008-0920,1.5098039215686274,20.0
2016-1720,1.169811320754717,20.0
2013-1420,1.1132075471698113,20.0
2018-1920,1.4528301886792452,20.0
2011-1221,1.1538461538461537,21.0
2015-1621,1.2264150943396226,21.0
2017-1821,1.1320754716981132,21.0
2014-1521,1.169811320754717,21.0
2012-1321,0.9807692307692307,21.0
2016-1721,1.0754716981132075,21.0
2013-1421,1.1132075471698113,21.0
2010-1121,0.9615384615384616,21.0
2008-0921,1.5490196078431373,21.0
2018-1921,1.3018867924528301,21.0
2009-1021,1.06,21.0
2014-1522,1.0566037735849056,22.0
2017-1822,1.1320754716981132,22.0
2009-1022,1.12,22.0
2013-1422,1.0566037735849056,22.0
2018-1922,1.3076923076923077,22.0
2010-1122,0.9615384615384616,22.0
2016-1722,1.0188679245283019,22.0
2015-1622,1.0943396226415094,22.0
2012-1322,0.9807692307692307,22.0
2008-0922,1.607843137254902,22.0
2011-1222,1.0576923076923077,22.0
2015-1623,1.0566037735849056,23.0
2014-1523,1.0,23.0
2008-0923,1.6862745098039216,23.0
2010-1123,0.9803921568627451,23.0
2011-1223,0.9807692307692307,23.0
2009-1023,1.02,23.0
2017-1823,1.0377358490566038,23.0
2013-1423,1.0377358490566038,23.0
2016-1723,1.0,23.0
2012-1323,0.9423076923076923,23.0
2018-1923,1.0566037735849056,23.0
2014-1524,1.0,24.0
2018-1924,1.0566037735849056,24.0
2012-1324,0.9807692307692307,24.0
2017-1824,1.0188679245283019,24.0
2008-0924,1.9215686274509804,24.0
2010-1124,0.9803921568627451,24.0
2013-1424,1.0,24.0
2015-1624,1.0566037735849056,24.0
2009-1024,1.02,24.0
2016-1724,0.9622641509433962,24.0
2011-1224,0.9615384615384616,24.0
2008-0925,1.6470588235294117,25.0
2010-1125,0.9411764705882353,25.0
2013-1425,0.9807692307692307,25.0
2016-1725,1.0,25.0
2011-1225,0.9615384615384616,25.0
2018-1925,1.0188679245283019,25.0
2009-1025,1.0,25.0
2014-1525,1.0566037735849056,25.0
2012-1325,0.9615384615384616,25.0
2017-1825,1.0,25.0
2015-1625,0.9811320754716981,25.0
2016-1726,0.9433962264150944,26.0
2010-1126,0.9411764705882353,26.0
2014-1526,1.0377358490566038,26.0
2017-1826,0.9622641509433962,26.0
2008-0926,1.607843137254902,26.0
2015-1626,1.0377358490566038,26.0
2012-1326,0.9615384615384616,26.0
2013-1426,0.9811320754716981,26.0
2018-1926,0.9622641509433962,26.0
2011-1226,0.9230769230769231,26.0
2009-1026,0.98,26.0
2016-1727,0.9245283018867925,27.0
2015-1627,0.9811320754716981,27.0
2014-1527,1.0,27.0
2010-1127,0.9607843137254902,27.0
2009-1027,1.0,27.0
2008-0927,1.2745098039215685,27.0
2018-1927,0.9811320754716981,27.0
2013-1427,0.9807692307692307,27.0
2011-1227,0.9038461538461539,27.0
2017-1827,1.0,27.0
2012-1327,0.9615384615384616,27.0
2011-1228,0.9230769230769231,28.0
2017-1828,0.9622641509433962,28.0
2014-1528,0.9811320754716981,28.0
2018-1928,0.9622641509433962,28.0
2015-1628,0.9622641509433962,28.0
2016-1728,0.9056603773584906,28.0
2013-1428,0.9056603773584906,28.0
2010-1128,0.9411764705882353,28.0
2008-0928,1.2352941176470589,28.0
2009-1028,1.0,28.0
2012-1328,0.9423076923076923,28.0
2013-1429,0.9433962264150944,29.0
2010-1129,0.9411764705882353,29.0
2017-1829,0.9622641509433962,29.0
2011-1229,0.9230769230769231,29.0
2008-0929,1.1372549019607843,29.0
2014-1529,1.0,29.0
2016-1729,0.9245283018867925,29.0
2009-1029,1.0,29.0
2015-1629,1.0188679245283019,29.0
2012-1329,0.9423076923076923,29.0
2018-1929,0.9811320754716981,29.0
2015-1630,0.9622641509433962,30.0
2009-1030,0.9795918367346939,30.0
2012-1330,0.9423076923076923,30.0
2014-1530,0.9811320754716981,30.0
2017-1830,0.9622641509433962,30.0
2010-1130,0.9607843137254902,30.0
2008-0930,1.0980392156862746,30.0
2011-1230,0.9230769230769231,30.0
2018-1930,0.9622641509433962,30.0
2013-1430,0.9056603773584906,30.0
2016-1730,0.9433962264150944,30.0
2008-0931,1.0588235294117647,31.0
2009-1031,1.0204081632653061,31.0
2012-1331,0.9423076923076923,31.0
2013-1431,0.9622641509433962,31.0
2010-1131,0.9607843137254902,31.0
2011-1231,0.9038461538461539,31.0
2017-1831,0.9622641509433962,31.0
2016-1731,0.9433962264150944,31.0
2014-1531,1.0384615384615385,31.0
2018-1931,1.0,31.0
2015-1631,0.9622641509433962,31.0
2017-1832,0.9433962264150944,32.0
2011-1232,0.8846153846153846,32.0
2016-1732,0.9245283018867925,32.0
2012-1332,0.9423076923076923,32.0
2008-0932,1.0784313725490196,32.0
2015-1632,0.9811320754716981,32.0
2013-1432,1.0377358490566038,32.0
2014-1532,1.0,32.0
2010-1132,0.96,32.0
2009-1032,1.02,32.0
2018-1932,0.9622641509433962,32.0
2008-0933,1.6666666666666667,33.0
2016-1733,0.9433962264150944,33.0
2012-1333,0.8846153846153846,33.0
2015-1633,0.9811320754716981,33.0
2011-1233,0.8846153846153846,33.0
2017-1833,1.0,33.0
2018-1933,0.9622641509433962,33.0
2013-1433,0.9811320754716981,33.0
2014-1533,1.0,33.0
2010-1133,0.9411764705882353,33.0
2009-1033,1.0,33.0
2015-1634,1.0188679245283019,34.0
2011-1234,0.9230769230769231,34.0
2009-1034,1.0,34.0
2012-1334,0.8846153846153846,34.0
2016-1734,1.0377358490566038,34.0
2014-1534,0.9807692307692307,34.0
2008-0934,2.588235294117647,34.0
2010-1134,0.9607843137254902,34.0
2017-1834,1.0192307692307692,34.0
2018-1934,0.9814814814814815,34.0
2013-1434,1.0377358490566038,34.0
2010-1135,0.9411764705882353,35.0
2011-1235,0.8846153846153846,35.0
2015-1635,1.0566037735849056,35.0
2009-1035,2.4554455445544554,35.0
2018-1935,1.037037037037037,35.0
2016-1735,1.0943396226415094,35.0
2014-1535,1.0961538461538463,35.0
2012-1335,0.8823529411764706,35.0
2013-1435,1.0754716981132075,35.0
2017-1835,1.0377358490566038,35.0
2015-1636,1.0754716981132075,36.0
2010-1136,0.9411764705882353,36.0
2013-1436,1.1320754716981132,36.0
2016-1736,1.0943396226415094,36.0
2018-1936,1.1296296296296295,36.0
2009-1036,2.85,36.0
2011-1236,0.9038461538461539,36.0
2017-1836,1.1132075471698113,36.0
2012-1336,0.9615384615384616,36.0
2014-1536,1.0384615384615385,36.0
2016-1737,1.0566037735849056,37.0
2017-1837,1.0754716981132075,37.0
2012-1337,0.9615384615384616,37.0
2010-1137,0.9803921568627451,37.0
2014-1537,1.0192307692307692,37.0
2018-1937,1.0754716981132075,37.0
2013-1437,1.150943396226415,37.0
2011-1237,0.9230769230769231,37.0
2015-1637,1.0566037735849056,37.0
2009-1037,3.00990099009901,37.0
2011-1238,0.9230769230769231,38.0
2017-1838,1.0769230769230769,38.0
2013-1438,1.169811320754717,38.0
2015-1638,1.0188679245283019,38.0
2009-1038,3.277227722772277,38.0
2010-1138,1.0,38.0
2016-1738,1.0377358490566038,38.0
2012-1338,0.9423076923076923,38.0
2018-1938,1.2264150943396226,38.0
2014-1538,1.0576923076923077,38.0
2014-1539,1.1346153846153846,39.0
2017-1839,1.3018867924528301,39.0
2012-1339,1.1346153846153846,39.0
2018-1939,1.2830188679245282,39.0
2016-1739,1.0566037735849056,39.0
2011-1239,1.0192307692307692,39.0
2009-1039,3.702970297029703,39.0
2013-1439,1.0754716981132075,39.0
2015-1639,1.1320754716981132,39.0
2010-1139,0.9607843137254902,39.0
2018-1940,1.3018867924528301,40.0
2019-2040,1.3703703703703705,40.0
2016-1740,1.0377358490566038,40.0
2017-1840,1.169811320754717,40.0
2013-1440,1.1132075471698113,40.0
2012-1340,1.0384615384615385,40.0
2014-1540,1.2830188679245282,40.0
2011-1240,1.0961538461538463,40.0
2015-1640,1.0384615384615385,40.0
2008-0940,1.0980392156862746,40.0
2010-1140,1.0,40.0
2009-1040,7.653846153846154,40.0
2016-1741,1.1132075471698113,41.0
2011-1241,1.0384615384615385,41.0
2009-1041,8.115384615384615,41.0
2010-1141,1.0,41.0
2014-1541,1.3962264150943395,41.0
2013-1441,1.169811320754717,41.0
2008-0941,1.0,41.0
2019-2041,1.5740740740740742,41.0
2018-1941,1.2641509433962264,41.0
2015-1641,1.0754716981132075,41.0
2012-1341,1.0961538461538463,41.0
2017-1841,1.2075471698113207,41.0
2017-1842,1.2830188679245282,42.0
2011-1242,1.0576923076923077,42.0
2012-1342,1.0769230769230769,42.0
2018-1942,1.3773584905660377,42.0
2008-0942,1.0,42.0
2009-1042,8.846153846153847,42.0
2013-1442,1.2264150943396226,42.0
2016-1742,1.0943396226415094,42.0
2010-1142,1.0,42.0
2019-2042,1.9444444444444444,42.0
2015-1642,1.1886792452830188,42.0
2014-1542,1.3773584905660377,42.0
2017-1843,1.490566037735849,43.0
2019-2043,2.074074074074074,43.0
2013-1443,1.4528301886792452,43.0
2011-1243,1.1346153846153846,43.0
2008-0943,1.0588235294117647,43.0
2018-1943,1.490566037735849,43.0
2015-1643,1.1320754716981132,43.0
2012-1343,1.1153846153846154,43.0
2009-1043,8.903846153846153,43.0
2016-1743,1.2264150943396226,43.0
2010-1143,1.0192307692307692,43.0
2014-1543,1.3773584905660377,43.0
2014-1544,1.4150943396226414,44.0
2015-1644,1.2264150943396226,44.0
2018-1944,1.6415094339622642,44.0
2009-1044,8.442307692307692,44.0
2013-1444,1.4339622641509433,44.0
2010-1144,1.0576923076923077,44.0
2017-1844,1.830188679245283,44.0
2011-1244,1.1538461538461537,44.0
2019-2044,2.462962962962963,44.0
2008-0944,1.1176470588235294,44.0
2016-1744,1.2641509433962264,44.0
2012-1344,1.25,44.0
2008-0945,1.1176470588235294,45.0
2009-1045,7.211538461538462,45.0
2010-1145,1.1346153846153846,45.0
2011-1245,1.1346153846153846,45.0
2017-1845,2.0943396226415096,45.0
2018-1945,1.849056603773585,45.0
2015-1645,1.320754716981132,45.0
2016-1745,1.4150943396226414,45.0
2012-1345,1.4807692307692308,45.0
2013-1445,1.6415094339622642,45.0
2019-2045,2.962962962962963,45.0
2014-1545,1.6037735849056605,45.0
2008-0946,1.1176470588235294,46.0
2018-1946,2.188679245283019,46.0
2015-1646,1.3018867924528301,46.0
2009-1046,5.519230769230769,46.0
2016-1746,1.5660377358490567,46.0
2010-1146,1.3653846153846154,46.0
2014-1546,1.7547169811320755,46.0
2019-2046,3.759259259259259,46.0
2017-1846,2.452830188679245,46.0
2012-1346,1.7307692307692308,46.0
2013-1446,1.679245283018868,46.0
2011-1246,1.1346153846153846,46.0
2017-1847,2.69811320754717,47.0
2010-1147,1.5,47.0
2011-1247,1.1923076923076923,47.0
2009-1047,4.076923076923077,47.0
2019-2047,4.074074074074074,47.0
2015-1647,1.6981132075471699,47.0
2016-1747,1.8113207547169812,47.0
2014-1547,2.207547169811321,47.0
2013-1447,1.7358490566037736,47.0
2008-0947,1.196078431372549,47.0
2012-1347,2.576923076923077,47.0
2018-1947,2.641509433962264,47.0
2012-1348,2.4615384615384617,48.0
2019-2048,5.203703703703703,48.0
2008-0948,1.3137254901960784,48.0
2009-1048,2.923076923076923,48.0
2015-1648,1.4150943396226414,48.0
2014-1548,2.830188679245283,48.0
2018-1948,2.4716981132075473,48.0
2010-1148,1.3269230769230769,48.0
2011-1248,1.1730769230769231,48.0
2017-1848,2.8679245283018866,48.0
2013-1448,2.0943396226415096,48.0
2016-1748,1.6981132075471699,48.0
2011-1249,1.2115384615384615,49.0
2015-1649,1.509433962264151,49.0
2017-1849,3.4339622641509435,49.0
2008-0949,1.2941176470588236,49.0
2016-1749,1.7735849056603774,49.0
2019-2049,5.222222222222222,49.0
2012-1349,3.4038461538461537,49.0
2014-1549,3.188679245283019,49.0
2013-1449,2.4339622641509435,49.0
2018-1949,2.6037735849056602,49.0
2010-1149,1.6153846153846154,49.0
2009-1049,2.4615384615384617,49.0
2008-0950,1.2745098039215685,50.0
2015-1650,1.6226415094339623,50.0
2013-1450,2.547169811320755,50.0
2017-1850,4.452830188679245,50.0
2014-1550,4.6415094339622645,50.0
2018-1950,3.509433962264151,50.0
2016-1750,2.3207547169811322,50.0
2010-1150,2.0576923076923075,50.0
2011-1250,1.3269230769230769,50.0
2012-1350,4.5576923076923075,50.0
2019-2050,6.132075471698113,50.0
2009-1050,2.173076923076923,50.0
2018-1951,4.528301886792453,51.0
2015-1651,2.1132075471698113,51.0
2019-2051,7.019230769230769,51.0
2009-1051,2.519230769230769,51.0
2014-1551,6.2075471698113205,51.0
2010-1151,2.75,51.0
2016-1751,3.018867924528302,51.0
2017-1851,5.867924528301887,51.0
2013-1451,3.792452830188679,51.0
2011-1251,1.4615384615384615,51.0
2008-0951,1.196078431372549,51.0
2012-1351,6.019230769230769,51.0
2014-1552,7.452830188679245,52.0
2016-1752,4.150943396226415,52.0
2013-1452,6.153846153846154,52.0
2008-0952,1.4901960784313726,52.0
2015-1652,2.150943396226415,52.0
2017-1852,7.0754716981132075,52.0
2018-1952,6.2075471698113205,52.0
2010-1152,2.9615384615384617,52.0
2009-1052,2.6346153846153846,52.0
2012-1352,8.134615384615385,52.0
2011-1252,1.8653846153846154,52.0
2008-0953,1.411764705882353,53.0
2014-1553,7.30188679245283,53.0
